"","measure","location","age_group","year","mean"
"852","Unmet need for any contraceptive method","Mongolia","15-49 years",2001,0.1222
"853","Unmet need for any contraceptive method","Mongolia","15-49 years",2002,0.1188
"854","Unmet need for any contraceptive method","Mongolia","15-49 years",2003,0.1167
"855","Unmet need for any contraceptive method","Mongolia","15-49 years",2004,0.1171
"856","Unmet need for any contraceptive method","Mongolia","15-49 years",2005,0.1188
"857","Unmet need for any contraceptive method","Mongolia","15-49 years",2006,0.122
"858","Unmet need for any contraceptive method","Mongolia","15-49 years",2007,0.126
"859","Unmet need for any contraceptive method","Mongolia","15-49 years",2008,0.1306
"860","Unmet need for any contraceptive method","Mongolia","15-49 years",2009,0.1364
"861","Unmet need for any contraceptive method","Mongolia","15-49 years",2010,0.1416
"862","Unmet need for any contraceptive method","Mongolia","15-49 years",2011,0.1454
"863","Unmet need for any contraceptive method","Mongolia","15-49 years",2012,0.1487
"864","Unmet need for any contraceptive method","Mongolia","15-49 years",2013,0.1514
"865","Unmet need for any contraceptive method","Mongolia","15-49 years",2014,0.1529
"866","Unmet need for any contraceptive method","Mongolia","15-49 years",2015,0.1546
"867","Unmet need for any contraceptive method","Mongolia","15-49 years",2016,0.1563
"868","Unmet need for any contraceptive method","Mongolia","15-49 years",2017,0.1576
"869","Unmet need for any contraceptive method","Mongolia","15-49 years",2018,0.158
"870","Unmet need for any contraceptive method","Mongolia","15-49 years",2019,0.1564
"871","Unmet need for any contraceptive method","Tajikistan","15-49 years",1990,0.1556
"872","Unmet need for any contraceptive method","Tajikistan","15-49 years",1991,0.1552
"873","Unmet need for any contraceptive method","Tajikistan","15-49 years",1992,0.1559
"874","Unmet need for any contraceptive method","Tajikistan","15-49 years",1993,0.1567
"875","Unmet need for any contraceptive method","Tajikistan","15-49 years",1994,0.1581
"876","Unmet need for any contraceptive method","Tajikistan","15-49 years",1995,0.1595
"877","Unmet need for any contraceptive method","Tajikistan","15-49 years",1996,0.1614
"878","Unmet need for any contraceptive method","Tajikistan","15-49 years",1997,0.1632
"879","Unmet need for any contraceptive method","Tajikistan","15-49 years",1998,0.1649
"880","Unmet need for any contraceptive method","Tajikistan","15-49 years",1999,0.1662
"881","Unmet need for any contraceptive method","Tajikistan","15-49 years",2000,0.1668
"882","Unmet need for any contraceptive method","Tajikistan","15-49 years",2001,0.1663
"883","Unmet need for any contraceptive method","Tajikistan","15-49 years",2002,0.1646
"884","Unmet need for any contraceptive method","Tajikistan","15-49 years",2003,0.1623
"885","Unmet need for any contraceptive method","Tajikistan","15-49 years",2004,0.1599
"886","Unmet need for any contraceptive method","Tajikistan","15-49 years",2005,0.1582
"887","Unmet need for any contraceptive method","Tajikistan","15-49 years",2006,0.1563
"888","Unmet need for any contraceptive method","Tajikistan","15-49 years",2007,0.1553
"889","Unmet need for any contraceptive method","Tajikistan","15-49 years",2008,0.1551
"890","Unmet need for any contraceptive method","Tajikistan","15-49 years",2009,0.1553
"891","Unmet need for any contraceptive method","Tajikistan","15-49 years",2010,0.1557
"892","Unmet need for any contraceptive method","Tajikistan","15-49 years",2011,0.1565
"893","Unmet need for any contraceptive method","Tajikistan","15-49 years",2012,0.1573
"894","Unmet need for any contraceptive method","Tajikistan","15-49 years",2013,0.1584
"895","Unmet need for any contraceptive method","Tajikistan","15-49 years",2014,0.1593
"896","Unmet need for any contraceptive method","Tajikistan","15-49 years",2015,0.1602
"897","Unmet need for any contraceptive method","Tajikistan","15-49 years",2016,0.1609
"898","Unmet need for any contraceptive method","Tajikistan","15-49 years",2017,0.161
"899","Unmet need for any contraceptive method","Tajikistan","15-49 years",2018,0.1605
"900","Unmet need for any contraceptive method","Tajikistan","15-49 years",2019,0.1597
"901","Unmet need for any contraceptive method","Turkmenistan","15-49 years",1990,0.08356
"902","Unmet need for any contraceptive method","Turkmenistan","15-49 years",1991,0.08299
"903","Unmet need for any contraceptive method","Turkmenistan","15-49 years",1992,0.08286
"904","Unmet need for any contraceptive method","Turkmenistan","15-49 years",1993,0.0826
"905","Unmet need for any contraceptive method","Turkmenistan","15-49 years",1994,0.08291
"906","Unmet need for any contraceptive method","Turkmenistan","15-49 years",1995,0.08344
"907","Unmet need for any contraceptive method","Turkmenistan","15-49 years",1996,0.08387
"908","Unmet need for any contraceptive method","Turkmenistan","15-49 years",1997,0.08466
"909","Unmet need for any contraceptive method","Turkmenistan","15-49 years",1998,0.08541
"910","Unmet need for any contraceptive method","Turkmenistan","15-49 years",1999,0.08586
"911","Unmet need for any contraceptive method","Turkmenistan","15-49 years",2000,0.08582
"912","Unmet need for any contraceptive method","Turkmenistan","15-49 years",2001,0.08696
"913","Unmet need for any contraceptive method","Turkmenistan","15-49 years",2002,0.08799
"914","Unmet need for any contraceptive method","Turkmenistan","15-49 years",2003,0.08889
"915","Unmet need for any contraceptive method","Turkmenistan","15-49 years",2004,0.08959
"916","Unmet need for any contraceptive method","Turkmenistan","15-49 years",2005,0.08993
"917","Unmet need for any contraceptive method","Turkmenistan","15-49 years",2006,0.0901
"918","Unmet need for any contraceptive method","Turkmenistan","15-49 years",2007,0.08902
"919","Unmet need for any contraceptive method","Turkmenistan","15-49 years",2008,0.08787
"920","Unmet need for any contraceptive method","Turkmenistan","15-49 years",2009,0.08667
"921","Unmet need for any contraceptive method","Turkmenistan","15-49 years",2010,0.08547
"922","Unmet need for any contraceptive method","Turkmenistan","15-49 years",2011,0.0841
"923","Unmet need for any contraceptive method","Turkmenistan","15-49 years",2012,0.08274
"924","Unmet need for any contraceptive method","Turkmenistan","15-49 years",2013,0.08139
"925","Unmet need for any contraceptive method","Turkmenistan","15-49 years",2014,0.07997
"926","Unmet need for any contraceptive method","Turkmenistan","15-49 years",2015,0.07858
"927","Unmet need for any contraceptive method","Turkmenistan","15-49 years",2016,0.077
"928","Unmet need for any contraceptive method","Turkmenistan","15-49 years",2017,0.07533
"929","Unmet need for any contraceptive method","Turkmenistan","15-49 years",2018,0.07363
"930","Unmet need for any contraceptive method","Turkmenistan","15-49 years",2019,0.07186
"931","Unmet need for any contraceptive method","Uzbekistan","15-49 years",1990,0.09018
"932","Unmet need for any contraceptive method","Uzbekistan","15-49 years",1991,0.08934
"933","Unmet need for any contraceptive method","Uzbekistan","15-49 years",1992,0.0887
"934","Unmet need for any contraceptive method","Uzbekistan","15-49 years",1993,0.08762
"935","Unmet need for any contraceptive method","Uzbekistan","15-49 years",1994,0.08641
"936","Unmet need for any contraceptive method","Uzbekistan","15-49 years",1995,0.08485
"937","Unmet need for any contraceptive method","Uzbekistan","15-49 years",1996,0.08279
"938","Unmet need for any contraceptive method","Uzbekistan","15-49 years",1997,0.07944
"939","Unmet need for any contraceptive method","Uzbekistan","15-49 years",1998,0.07599
"940","Unmet need for any contraceptive method","Uzbekistan","15-49 years",1999,0.0726
"941","Unmet need for any contraceptive method","Uzbekistan","15-49 years",2000,0.06948
"942","Unmet need for any contraceptive method","Uzbekistan","15-49 years",2001,0.06673
"943","Unmet need for any contraceptive method","Uzbekistan","15-49 years",2002,0.06442
"944","Unmet need for any contraceptive method","Uzbekistan","15-49 years",2003,0.06274
"945","Unmet need for any contraceptive method","Uzbekistan","15-49 years",2004,0.06135
"946","Unmet need for any contraceptive method","Uzbekistan","15-49 years",2005,0.06014
"947","Unmet need for any contraceptive method","Uzbekistan","15-49 years",2006,0.05909
"948","Unmet need for any contraceptive method","Uzbekistan","15-49 years",2007,0.05832
"949","Unmet need for any contraceptive method","Uzbekistan","15-49 years",2008,0.05752
"950","Unmet need for any contraceptive method","Uzbekistan","15-49 years",2009,0.0567
"951","Unmet need for any contraceptive method","Uzbekistan","15-49 years",2010,0.05583
"952","Unmet need for any contraceptive method","Uzbekistan","15-49 years",2011,0.05498
"953","Unmet need for any contraceptive method","Uzbekistan","15-49 years",2012,0.0541
"954","Unmet need for any contraceptive method","Uzbekistan","15-49 years",2013,0.05319
"955","Unmet need for any contraceptive method","Uzbekistan","15-49 years",2014,0.05227
"956","Unmet need for any contraceptive method","Uzbekistan","15-49 years",2015,0.05133
"957","Unmet need for any contraceptive method","Uzbekistan","15-49 years",2016,0.0504
"958","Unmet need for any contraceptive method","Uzbekistan","15-49 years",2017,0.04955
"959","Unmet need for any contraceptive method","Uzbekistan","15-49 years",2018,0.04874
"960","Unmet need for any contraceptive method","Uzbekistan","15-49 years",2019,0.04795
"961","Unmet need for any contraceptive method","Albania","15-49 years",1990,0.122
"962","Unmet need for any contraceptive method","Albania","15-49 years",1991,0.1224
"963","Unmet need for any contraceptive method","Albania","15-49 years",1992,0.1229
"964","Unmet need for any contraceptive method","Albania","15-49 years",1993,0.1228
"965","Unmet need for any contraceptive method","Albania","15-49 years",1994,0.1222
"966","Unmet need for any contraceptive method","Albania","15-49 years",1995,0.121
"967","Unmet need for any contraceptive method","Albania","15-49 years",1996,0.1192
"968","Unmet need for any contraceptive method","Albania","15-49 years",1997,0.1177
"969","Unmet need for any contraceptive method","Albania","15-49 years",1998,0.1158
"970","Unmet need for any contraceptive method","Albania","15-49 years",1999,0.1135
"971","Unmet need for any contraceptive method","Albania","15-49 years",2000,0.1111
"972","Unmet need for any contraceptive method","Albania","15-49 years",2001,0.1084
"973","Unmet need for any contraceptive method","Albania","15-49 years",2002,0.106
"974","Unmet need for any contraceptive method","Albania","15-49 years",2003,0.1046
"975","Unmet need for any contraceptive method","Albania","15-49 years",2004,0.1033
"976","Unmet need for any contraceptive method","Albania","15-49 years",2005,0.1023
"977","Unmet need for any contraceptive method","Albania","15-49 years",2006,0.1013
"978","Unmet need for any contraceptive method","Albania","15-49 years",2007,0.1006
"979","Unmet need for any contraceptive method","Albania","15-49 years",2008,0.1001
"980","Unmet need for any contraceptive method","Albania","15-49 years",2009,0.09979
"981","Unmet need for any contraceptive method","Albania","15-49 years",2010,0.09986
"982","Unmet need for any contraceptive method","Albania","15-49 years",2011,0.1003
"983","Unmet need for any contraceptive method","Albania","15-49 years",2012,0.1011
"984","Unmet need for any contraceptive method","Albania","15-49 years",2013,0.102
"985","Unmet need for any contraceptive method","Albania","15-49 years",2014,0.103
"986","Unmet need for any contraceptive method","Albania","15-49 years",2015,0.104
"987","Unmet need for any contraceptive method","Albania","15-49 years",2016,0.1048
"988","Unmet need for any contraceptive method","Albania","15-49 years",2017,0.1054
"989","Unmet need for any contraceptive method","Albania","15-49 years",2018,0.1053
"990","Unmet need for any contraceptive method","Albania","15-49 years",2019,0.1049
"991","Unmet need for any contraceptive method","Bosnia and Herzegovina","15-49 years",1990,0.283
"992","Unmet need for any contraceptive method","Bosnia and Herzegovina","15-49 years",1991,0.2826
"993","Unmet need for any contraceptive method","Bosnia and Herzegovina","15-49 years",1992,0.2835
"994","Unmet need for any contraceptive method","Bosnia and Herzegovina","15-49 years",1993,0.2849
"995","Unmet need for any contraceptive method","Bosnia and Herzegovina","15-49 years",1994,0.2851
"996","Unmet need for any contraceptive method","Bosnia and Herzegovina","15-49 years",1995,0.2838
"997","Unmet need for any contraceptive method","Bosnia and Herzegovina","15-49 years",1996,0.276
"998","Unmet need for any contraceptive method","Bosnia and Herzegovina","15-49 years",1997,0.2654
"999","Unmet need for any contraceptive method","Bosnia and Herzegovina","15-49 years",1998,0.256
"1000","Unmet need for any contraceptive method","Bosnia and Herzegovina","15-49 years",1999,0.2485
"1001","Unmet need for any contraceptive method","Bosnia and Herzegovina","15-49 years",2000,0.2429
"1002","Unmet need for any contraceptive method","Bosnia and Herzegovina","15-49 years",2001,0.2404
"1003","Unmet need for any contraceptive method","Bosnia and Herzegovina","15-49 years",2002,0.2387
"1004","Unmet need for any contraceptive method","Bosnia and Herzegovina","15-49 years",2003,0.2376
"1005","Unmet need for any contraceptive method","Bosnia and Herzegovina","15-49 years",2004,0.2375
"1006","Unmet need for any contraceptive method","Bosnia and Herzegovina","15-49 years",2005,0.238
"1007","Unmet need for any contraceptive method","Bosnia and Herzegovina","15-49 years",2006,0.2379
"1008","Unmet need for any contraceptive method","Bosnia and Herzegovina","15-49 years",2007,0.2383
"1009","Unmet need for any contraceptive method","Bosnia and Herzegovina","15-49 years",2008,0.2388
"1010","Unmet need for any contraceptive method","Bosnia and Herzegovina","15-49 years",2009,0.2388
"1011","Unmet need for any contraceptive method","Bosnia and Herzegovina","15-49 years",2010,0.2379
"1012","Unmet need for any contraceptive method","Bosnia and Herzegovina","15-49 years",2011,0.2366
"1013","Unmet need for any contraceptive method","Bosnia and Herzegovina","15-49 years",2012,0.2333
"1014","Unmet need for any contraceptive method","Bosnia and Herzegovina","15-49 years",2013,0.2303
"1015","Unmet need for any contraceptive method","Bosnia and Herzegovina","15-49 years",2014,0.228
"1016","Unmet need for any contraceptive method","Bosnia and Herzegovina","15-49 years",2015,0.2262
"1017","Unmet need for any contraceptive method","Bosnia and Herzegovina","15-49 years",2016,0.2246
"1018","Unmet need for any contraceptive method","Bosnia and Herzegovina","15-49 years",2017,0.2228
"1019","Unmet need for any contraceptive method","Bosnia and Herzegovina","15-49 years",2018,0.2206
"1020","Unmet need for any contraceptive method","Bosnia and Herzegovina","15-49 years",2019,0.2184
"1021","Unmet need for any contraceptive method","Bulgaria","15-49 years",1990,0.1197
"1022","Unmet need for any contraceptive method","Bulgaria","15-49 years",1991,0.1184
"1023","Unmet need for any contraceptive method","Bulgaria","15-49 years",1992,0.1173
"1024","Unmet need for any contraceptive method","Bulgaria","15-49 years",1993,0.1167
"1025","Unmet need for any contraceptive method","Bulgaria","15-49 years",1994,0.1163
"1026","Unmet need for any contraceptive method","Bulgaria","15-49 years",1995,0.1161
"1027","Unmet need for any contraceptive method","Bulgaria","15-49 years",1996,0.1157
"1028","Unmet need for any contraceptive method","Bulgaria","15-49 years",1997,0.1159
"1029","Unmet need for any contraceptive method","Bulgaria","15-49 years",1998,0.116
"1030","Unmet need for any contraceptive method","Bulgaria","15-49 years",1999,0.1159
"1031","Unmet need for any contraceptive method","Bulgaria","15-49 years",2000,0.1149
"1032","Unmet need for any contraceptive method","Bulgaria","15-49 years",2001,0.1135
"1033","Unmet need for any contraceptive method","Bulgaria","15-49 years",2002,0.1117
"1034","Unmet need for any contraceptive method","Bulgaria","15-49 years",2003,0.1096
"1035","Unmet need for any contraceptive method","Bulgaria","15-49 years",2004,0.1072
"1036","Unmet need for any contraceptive method","Bulgaria","15-49 years",2005,0.1033
"1037","Unmet need for any contraceptive method","Bulgaria","15-49 years",2006,0.09927
"1038","Unmet need for any contraceptive method","Bulgaria","15-49 years",2007,0.09557
"1039","Unmet need for any contraceptive method","Bulgaria","15-49 years",2008,0.09355
"1040","Unmet need for any contraceptive method","Bulgaria","15-49 years",2009,0.09217
"1041","Unmet need for any contraceptive method","Bulgaria","15-49 years",2010,0.091
"1042","Unmet need for any contraceptive method","Bulgaria","15-49 years",2011,0.09026
"1043","Unmet need for any contraceptive method","Bulgaria","15-49 years",2012,0.09012
"1044","Unmet need for any contraceptive method","Bulgaria","15-49 years",2013,0.0904
"1045","Unmet need for any contraceptive method","Bulgaria","15-49 years",2014,0.09059
"1046","Unmet need for any contraceptive method","Bulgaria","15-49 years",2015,0.09068
"1047","Unmet need for any contraceptive method","Bulgaria","15-49 years",2016,0.09072
"1048","Unmet need for any contraceptive method","Bulgaria","15-49 years",2017,0.09061
"1049","Unmet need for any contraceptive method","Bulgaria","15-49 years",2018,0.09021
"1050","Unmet need for any contraceptive method","Bulgaria","15-49 years",2019,0.08955
"1051","Unmet need for any contraceptive method","Croatia","15-49 years",1990,0.1445
"1052","Unmet need for any contraceptive method","Croatia","15-49 years",1991,0.1436
"1053","Unmet need for any contraceptive method","Croatia","15-49 years",1992,0.1431
"1054","Unmet need for any contraceptive method","Croatia","15-49 years",1993,0.1434
"1055","Unmet need for any contraceptive method","Croatia","15-49 years",1994,0.1439
"1056","Unmet need for any contraceptive method","Croatia","15-49 years",1995,0.1442
"1057","Unmet need for any contraceptive method","Croatia","15-49 years",1996,0.144
"1058","Unmet need for any contraceptive method","Croatia","15-49 years",1997,0.1425
"1059","Unmet need for any contraceptive method","Croatia","15-49 years",1998,0.1409
"1060","Unmet need for any contraceptive method","Croatia","15-49 years",1999,0.1394
"1061","Unmet need for any contraceptive method","Croatia","15-49 years",2000,0.1376
"1062","Unmet need for any contraceptive method","Croatia","15-49 years",2001,0.136
"1063","Unmet need for any contraceptive method","Croatia","15-49 years",2002,0.1346
"1064","Unmet need for any contraceptive method","Croatia","15-49 years",2003,0.1333
"1065","Unmet need for any contraceptive method","Croatia","15-49 years",2004,0.1322
"1066","Unmet need for any contraceptive method","Croatia","15-49 years",2005,0.1312
"1067","Unmet need for any contraceptive method","Croatia","15-49 years",2006,0.1291
"1068","Unmet need for any contraceptive method","Croatia","15-49 years",2007,0.1269
"1069","Unmet need for any contraceptive method","Croatia","15-49 years",2008,0.1252
"1070","Unmet need for any contraceptive method","Croatia","15-49 years",2009,0.1247
"1071","Unmet need for any contraceptive method","Croatia","15-49 years",2010,0.1242
"1072","Unmet need for any contraceptive method","Croatia","15-49 years",2011,0.1237
"1073","Unmet need for any contraceptive method","Croatia","15-49 years",2012,0.1225
"1074","Unmet need for any contraceptive method","Croatia","15-49 years",2013,0.1213
"1075","Unmet need for any contraceptive method","Croatia","15-49 years",2014,0.1199
"1076","Unmet need for any contraceptive method","Croatia","15-49 years",2015,0.1184
"1077","Unmet need for any contraceptive method","Croatia","15-49 years",2016,0.1168
"1078","Unmet need for any contraceptive method","Croatia","15-49 years",2017,0.1151
"1079","Unmet need for any contraceptive method","Croatia","15-49 years",2018,0.1136
"1080","Unmet need for any contraceptive method","Croatia","15-49 years",2019,0.1118
"1081","Unmet need for any contraceptive method","Czechia","15-49 years",1990,0.09844
"1082","Unmet need for any contraceptive method","Czechia","15-49 years",1991,0.09742
"1083","Unmet need for any contraceptive method","Czechia","15-49 years",1992,0.09619
"1084","Unmet need for any contraceptive method","Czechia","15-49 years",1993,0.09468
"1085","Unmet need for any contraceptive method","Czechia","15-49 years",1994,0.09336
"1086","Unmet need for any contraceptive method","Czechia","15-49 years",1995,0.09253
"1087","Unmet need for any contraceptive method","Czechia","15-49 years",1996,0.09192
"1088","Unmet need for any contraceptive method","Czechia","15-49 years",1997,0.09144
"1089","Unmet need for any contraceptive method","Czechia","15-49 years",1998,0.09102
"1090","Unmet need for any contraceptive method","Czechia","15-49 years",1999,0.09058
"1091","Unmet need for any contraceptive method","Czechia","15-49 years",2000,0.08997
"1092","Unmet need for any contraceptive method","Czechia","15-49 years",2001,0.08922
"1093","Unmet need for any contraceptive method","Czechia","15-49 years",2002,0.08842
"1094","Unmet need for any contraceptive method","Czechia","15-49 years",2003,0.0876
"1095","Unmet need for any contraceptive method","Czechia","15-49 years",2004,0.08685
"1096","Unmet need for any contraceptive method","Czechia","15-49 years",2005,0.08592
"1097","Unmet need for any contraceptive method","Czechia","15-49 years",2006,0.08464
"1098","Unmet need for any contraceptive method","Czechia","15-49 years",2007,0.08336
"1099","Unmet need for any contraceptive method","Czechia","15-49 years",2008,0.08225
"1100","Unmet need for any contraceptive method","Czechia","15-49 years",2009,0.08179
"1101","Unmet need for any contraceptive method","Czechia","15-49 years",2010,0.08144
"1102","Unmet need for any contraceptive method","Czechia","15-49 years",2011,0.0813
"1103","Unmet need for any contraceptive method","Czechia","15-49 years",2012,0.08136
"1104","Unmet need for any contraceptive method","Czechia","15-49 years",2013,0.08149
"1105","Unmet need for any contraceptive method","Czechia","15-49 years",2014,0.08142
"1106","Unmet need for any contraceptive method","Czechia","15-49 years",2015,0.08128
"1107","Unmet need for any contraceptive method","Czechia","15-49 years",2016,0.08106
"1108","Unmet need for any contraceptive method","Czechia","15-49 years",2017,0.08063
"1109","Unmet need for any contraceptive method","Czechia","15-49 years",2018,0.0799
"1110","Unmet need for any contraceptive method","Czechia","15-49 years",2019,0.07887
"1111","Unmet need for any contraceptive method","Hungary","15-49 years",1990,0.0555
"1112","Unmet need for any contraceptive method","Hungary","15-49 years",1991,0.05514
"1113","Unmet need for any contraceptive method","Hungary","15-49 years",1992,0.05481
"1114","Unmet need for any contraceptive method","Hungary","15-49 years",1993,0.05502
"1115","Unmet need for any contraceptive method","Hungary","15-49 years",1994,0.05547
"1116","Unmet need for any contraceptive method","Hungary","15-49 years",1995,0.05604
"1117","Unmet need for any contraceptive method","Hungary","15-49 years",1996,0.05695
"1118","Unmet need for any contraceptive method","Hungary","15-49 years",1997,0.05781
"1119","Unmet need for any contraceptive method","Hungary","15-49 years",1998,0.05855
"1120","Unmet need for any contraceptive method","Hungary","15-49 years",1999,0.05932
"1121","Unmet need for any contraceptive method","Hungary","15-49 years",2000,0.06006
"1122","Unmet need for any contraceptive method","Hungary","15-49 years",2001,0.06059
"1123","Unmet need for any contraceptive method","Hungary","15-49 years",2002,0.06097
"1124","Unmet need for any contraceptive method","Hungary","15-49 years",2003,0.06115
"1125","Unmet need for any contraceptive method","Hungary","15-49 years",2004,0.0611
"1126","Unmet need for any contraceptive method","Hungary","15-49 years",2005,0.06088
"1127","Unmet need for any contraceptive method","Hungary","15-49 years",2006,0.06051
"1128","Unmet need for any contraceptive method","Hungary","15-49 years",2007,0.06025
"1129","Unmet need for any contraceptive method","Hungary","15-49 years",2008,0.06002
"1130","Unmet need for any contraceptive method","Hungary","15-49 years",2009,0.0595
"1131","Unmet need for any contraceptive method","Hungary","15-49 years",2010,0.05904
"1132","Unmet need for any contraceptive method","Hungary","15-49 years",2011,0.05879
"1133","Unmet need for any contraceptive method","Hungary","15-49 years",2012,0.05881
"1134","Unmet need for any contraceptive method","Hungary","15-49 years",2013,0.05893
"1135","Unmet need for any contraceptive method","Hungary","15-49 years",2014,0.0589
"1136","Unmet need for any contraceptive method","Hungary","15-49 years",2015,0.05878
"1137","Unmet need for any contraceptive method","Hungary","15-49 years",2016,0.05854
"1138","Unmet need for any contraceptive method","Hungary","15-49 years",2017,0.05805
"1139","Unmet need for any contraceptive method","Hungary","15-49 years",2018,0.05734
"1140","Unmet need for any contraceptive method","Hungary","15-49 years",2019,0.05652
"1141","Unmet need for any contraceptive method","North Macedonia","15-49 years",1990,0.3398
"1142","Unmet need for any contraceptive method","North Macedonia","15-49 years",1991,0.3402
"1143","Unmet need for any contraceptive method","North Macedonia","15-49 years",1992,0.3415
"1144","Unmet need for any contraceptive method","North Macedonia","15-49 years",1993,0.3426
"1145","Unmet need for any contraceptive method","North Macedonia","15-49 years",1994,0.3424
"1146","Unmet need for any contraceptive method","North Macedonia","15-49 years",1995,0.3413
"1147","Unmet need for any contraceptive method","North Macedonia","15-49 years",1996,0.3402
"1148","Unmet need for any contraceptive method","North Macedonia","15-49 years",1997,0.3384
"1149","Unmet need for any contraceptive method","North Macedonia","15-49 years",1998,0.3363
"1150","Unmet need for any contraceptive method","North Macedonia","15-49 years",1999,0.3341
"1151","Unmet need for any contraceptive method","North Macedonia","15-49 years",2000,0.3314
"1152","Unmet need for any contraceptive method","North Macedonia","15-49 years",2001,0.329
"1153","Unmet need for any contraceptive method","North Macedonia","15-49 years",2002,0.3262
"1154","Unmet need for any contraceptive method","North Macedonia","15-49 years",2003,0.323
"1155","Unmet need for any contraceptive method","North Macedonia","15-49 years",2004,0.32
"1156","Unmet need for any contraceptive method","North Macedonia","15-49 years",2005,0.3169
"1157","Unmet need for any contraceptive method","North Macedonia","15-49 years",2006,0.3076
"1158","Unmet need for any contraceptive method","North Macedonia","15-49 years",2007,0.298
"1159","Unmet need for any contraceptive method","North Macedonia","15-49 years",2008,0.288
"1160","Unmet need for any contraceptive method","North Macedonia","15-49 years",2009,0.2782
"1161","Unmet need for any contraceptive method","North Macedonia","15-49 years",2010,0.2683
"1162","Unmet need for any contraceptive method","North Macedonia","15-49 years",2011,0.2587
"1163","Unmet need for any contraceptive method","North Macedonia","15-49 years",2012,0.2485
"1164","Unmet need for any contraceptive method","North Macedonia","15-49 years",2013,0.2383
"1165","Unmet need for any contraceptive method","North Macedonia","15-49 years",2014,0.2278
"1166","Unmet need for any contraceptive method","North Macedonia","15-49 years",2015,0.2172
"1167","Unmet need for any contraceptive method","North Macedonia","15-49 years",2016,0.2069
"1168","Unmet need for any contraceptive method","North Macedonia","15-49 years",2017,0.1971
"1169","Unmet need for any contraceptive method","North Macedonia","15-49 years",2018,0.1879
"1170","Unmet need for any contraceptive method","North Macedonia","15-49 years",2019,0.1858
"1171","Unmet need for any contraceptive method","Montenegro","15-49 years",1990,0.1953
"1172","Unmet need for any contraceptive method","Montenegro","15-49 years",1991,0.1943
"1173","Unmet need for any contraceptive method","Montenegro","15-49 years",1992,0.1936
"1174","Unmet need for any contraceptive method","Montenegro","15-49 years",1993,0.1937
"1175","Unmet need for any contraceptive method","Montenegro","15-49 years",1994,0.1937
"1176","Unmet need for any contraceptive method","Montenegro","15-49 years",1995,0.1931
"1177","Unmet need for any contraceptive method","Montenegro","15-49 years",1996,0.1918
"1178","Unmet need for any contraceptive method","Montenegro","15-49 years",1997,0.19
"1179","Unmet need for any contraceptive method","Montenegro","15-49 years",1998,0.188
"1180","Unmet need for any contraceptive method","Montenegro","15-49 years",1999,0.1864
"1181","Unmet need for any contraceptive method","Montenegro","15-49 years",2000,0.1846
"1182","Unmet need for any contraceptive method","Montenegro","15-49 years",2001,0.1846
"1183","Unmet need for any contraceptive method","Montenegro","15-49 years",2002,0.185
"1184","Unmet need for any contraceptive method","Montenegro","15-49 years",2003,0.1857
"1185","Unmet need for any contraceptive method","Montenegro","15-49 years",2004,0.1867
"1186","Unmet need for any contraceptive method","Montenegro","15-49 years",2005,0.188
"1187","Unmet need for any contraceptive method","Montenegro","15-49 years",2006,0.1877
"1188","Unmet need for any contraceptive method","Montenegro","15-49 years",2007,0.1872
"1189","Unmet need for any contraceptive method","Montenegro","15-49 years",2008,0.1865
"1190","Unmet need for any contraceptive method","Montenegro","15-49 years",2009,0.1859
"1191","Unmet need for any contraceptive method","Montenegro","15-49 years",2010,0.185
"1192","Unmet need for any contraceptive method","Montenegro","15-49 years",2011,0.184
"1193","Unmet need for any contraceptive method","Montenegro","15-49 years",2012,0.1833
"1194","Unmet need for any contraceptive method","Montenegro","15-49 years",2013,0.1824
"1195","Unmet need for any contraceptive method","Montenegro","15-49 years",2014,0.1817
"1196","Unmet need for any contraceptive method","Montenegro","15-49 years",2015,0.1806
"1197","Unmet need for any contraceptive method","Montenegro","15-49 years",2016,0.1793
"1198","Unmet need for any contraceptive method","Montenegro","15-49 years",2017,0.1777
"1199","Unmet need for any contraceptive method","Montenegro","15-49 years",2018,0.1759
"1200","Unmet need for any contraceptive method","Montenegro","15-49 years",2019,0.1741
"1201","Unmet need for any contraceptive method","Poland","15-49 years",1990,0.1957
"1202","Unmet need for any contraceptive method","Poland","15-49 years",1991,0.1939
"1203","Unmet need for any contraceptive method","Poland","15-49 years",1992,0.1919
"1204","Unmet need for any contraceptive method","Poland","15-49 years",1993,0.1899
"1205","Unmet need for any contraceptive method","Poland","15-49 years",1994,0.1876
"1206","Unmet need for any contraceptive method","Poland","15-49 years",1995,0.1853
"1207","Unmet need for any contraceptive method","Poland","15-49 years",1996,0.1825
"1208","Unmet need for any contraceptive method","Poland","15-49 years",1997,0.179
"1209","Unmet need for any contraceptive method","Poland","15-49 years",1998,0.1751
"1210","Unmet need for any contraceptive method","Poland","15-49 years",1999,0.1714
"1211","Unmet need for any contraceptive method","Poland","15-49 years",2000,0.1677
"1212","Unmet need for any contraceptive method","Poland","15-49 years",2001,0.1642
"1213","Unmet need for any contraceptive method","Poland","15-49 years",2002,0.1612
"1214","Unmet need for any contraceptive method","Poland","15-49 years",2003,0.1586
"1215","Unmet need for any contraceptive method","Poland","15-49 years",2004,0.1562
"1216","Unmet need for any contraceptive method","Poland","15-49 years",2005,0.1538
"1217","Unmet need for any contraceptive method","Poland","15-49 years",2006,0.1513
